lat,lng,value
-34,-55,0.002
0,17,0.001
-38,-64,0
47,23,0.023
19,94,0.012
-23,-57,0.002
-24,30,0.028
58,57,0.019
38,56,0.002
35,82,0.001
37,99,0.001
-8,121,0
15,23,0.002
10,29,0.003
47,121,0.003
38,-89,0.013
15,-88,0.033
49,20,0.045
14,14,0.002
25,42,0.004
2,35,0.008
1,32,0.021
16,82,0.191
-22,29,0.005
26,108,0.071
25,-105,0.001
40,107,0.007
2,-74,0.001
36,38,0.034
38,129,0.013
50,81,0.013
12,-4,0.015
40,-6,0.005
-20,-39,0.002
-7,151,0.001
40,-119,0
39,98,0.002
54,72,0.003
50,51,0.001
30,58,0.005
26,45,0.006
3,14,0.003
2,103,0.051
-20,30,0.012
-21,24,0
51,115,0.001
-3,-68,0
12,105,0.029
-7,-75,0.002
45,21,0.025
-3,41,0.006
-35,-66,0.003
30,92,0.003
45,-90,0.002
60,27,0.005
32,49,0.028
31,-102,0.006
28,44,0.001
-30,-70,0.004
55,65,0.003
51,62,0.001
-3,111,0.003
31,75,0.404
28,-101,0.003
27,72,0.013
42,-82,0.046
22,-79,0.024
-1,26,0.002
-39,-61,0.005
-2,-53,0.001
70,24,0
66,67,0.002
43,124,0.035
45,89,0.001
42,61,0.006
55,99,0.002
-11,-62,0.005
57,74,0.001
37,67,0.013
33,64,0.003
10,125,0.042
28,104,0.037
9,22,0
56,14,0.007
37,-76,0.019
-4,-71,0.001
33,-83,0.018
9,-13,0.049
46,123,0.017
43,-89,0.018
57,-152,0
0,37,0.015
23,69,0.004
1,109,0.002
15,106,0.033
11,39,0.053
-43,-72,0
-9,-44,0.001
25,104,0.08
-13,25,0.002
61,9,0
58,13,0.007
35,110,0.075
37,119,0.122
34,71,0.048
15,-5,0.001
49,95,0
11,-8,0.011
48,-122,0.017
20,111,0.073
1,-53,0
53,51,0.038
49,48,0.001
29,73,0.092
25,70,0.068
-19,29,0.01
68,33,0.002
48,108,0.003
26,128,0.04
-32,-70,0.002
40,79,0.002
39,-92,0.004
50,117,0.002
12,24,0.008
11,99,0.006
-12,30,0.006
59,40,0.012
39,53,0.001
36,-95,0.024
35,58,0.009
30,-85,0.009
-8,-46,0.002
7,36,0.022
-17,30,0.006
54,36,0.004
7,-11,0.025
6,16,0.007
-3,-64,0
-26,29,0.096
-27,-58,0.006
60,8,0
21,71,0.091
36,78,0.003
17,76,0.104
-6,-47,0.014
42,112,0.002
-16,-54,0.002
21,-104,0.015
54,77,0.001
-40,-72,0.006
32,69,0.005
28,72,0.043
27,-13,0.001
8,19,0.007
-15,40,0.013
-16,25,0.003
55,37,0.022
31,31,0.188
42,-110,0
-6,150,0.002
43,88,0.07
45,125,0.045
18,27,0.001
52,-113,0.005
9,-79,0.041
46,-75,0.001
-11,-74,0.001
-15,-73,0.002
57,38,0.003
52,-2,0.076
24,84,0.104
-24,-56,0.005
-28,-53,0.013
43,3,0.017
24,67,0.046
13,99,0.015
-28,26,0.006
-28,-64,0.014
43,20,0.024
23,105,0.046
38,-3,0.012
0,-80,0
25,116,0.067
61,13,0
49,91,0
-8,114,0.133
-18,23,0.001
53,39,0.02
29,13,0.001
44,116,0.002
6,-1,0.099
48,128,0.011
40,51,0.019
36,46,0.023
35,5,0.02
-19,146,0.001
-30,-50,0.024
26,-109,0.009
17,121,0.029
50,12,0.041
12,-61,0.004
27,83,0.184
29,100,0.002
6,-7,0.018
-36,175,0.003
54,-128,0.001
30,34,0.002
6,44,0.003
54,-113,0.001
64,41,0.012
-30,32,0.032
41,34,0.009
36,122,0.022
32,122,0.071
-25,153,0.002
-7,14,0.003
27,-98,0.002
42,84,0.006
41,-81,0.088
52,94,0
51,21,0.024
32,41,0.004
27,15,0.001
-9,-40,0.005
55,9,0.009
51,6,0.116
32,-112,0.001
31,131,0.052
42,-122,0.006
18,-16,0.004
-1,-46,0.002
-38,141,0.002
-5,15,0.012
-6,122,0.001
42,21,0.049
18,31,0.001
33,7,0.003
-5,-64,0.001
-15,-45,0.001
22,107,0.036
37,-5,0.041
52,42,0.02
13,33,0.026
47,-111,0.003
-10,-36,0.037
-11,31,0.005
-9,14,0.042
56,86,0.003
-3,148,0.001
33,-91,0.004
47,34,0.028
44,20,0.027
23,28,0
20,42,0.017
-8,146,0.002
-4,32,0.019
44,-93,0.059
62,39,0
23,109,0.094
20,-103,0.148
38,25,0.001
35,101,0.003
-27,154,0.006
15,34,0.015
14,3,0.008
10,10,0.025
47,132,0.014
61,49,0
-8,111,0.456
49,119,0.001
48,-66,0.001
29,4,0.001
-19,-40,0.01
53,11,0.074
-3,102,0.013
49,8,0.054
48,13,0.038
44,80,0.003
38,102,0.01
16,-2,0.002
12,1,0.009
29,-94,0.009
59,47,0.001
40,23,0.047
11,123,0.059
40,-90,0.006
39,125,0.021
-44,-73,0
16,-92,0.029
50,16,0.04
27,111,0.106
-22,-49,0.013
41,96,0.001
-21,-47,0.023
39,142,0.034
51,102,0
30,-2,0.001
7,-67,0.005
-17,-57,0.001
-6,26,0.005
30,109,0.111
45,1,0.016
60,64,0
-29,-55,0.005
-35,151,0.02
32,78,0.004
-6,-55,0
-26,-56,0.018
8,12,0.02
41,-101,0
3,100,0.05
55,60,0.011
51,33,0.008
32,-3,0.002
66,77,0.003
27,43,0.002
4,22,0.006
-16,-47,0.052
21,93,0.071
-1,117,0.007
-39,-70,0.001
46,35,0.006
43,127,0.062
19,33,0.001
-2,15,0.001
48,96,0
-25,48,0.003
9,-84,0.047
-10,150,0.002
43,144,0.008
42,-7,0.014
57,93,0.001
37,42,0.027
10,106,0.208
28,77,0.219
-10,37,0.004
-14,-44,0.003
56,75,0.002
37,-113,0.004
52,70,0.002
13,5,0.016
9,10,0.048
46,80,0
24,28,0
-14,-61,0.001
23,-81,0.008
-34,-54,0.002
0,18,0.001
-38,-67,0.001
47,22,0.034
34,-111,0.002
-23,-54,0.009
-24,31,0.039
62,51,0.001
58,58,0.006
35,81,0.001
37,94,0
34,36,0.025
15,22,0.002
10,30,0.011
47,120,0.001
1,-78,0.008
38,-88,0.005
15,-89,0.019
49,19,0.074
25,41,0.002
-2,101,0.016
2,36,0.004
1,31,0.028
16,83,0.051
-22,30,0.005
48,49,0
26,105,0.092
25,-102,0.002
40,108,0.014
2,-77,0.007
36,39,0.025
-18,-70,0.006
50,82,0.003
12,29,0.006
-31,31,0.033
40,-5,0.012
29,123,0.022
7,127,0.02
6,-62,0.001
39,97,0.001
54,69,0.002
50,52,0.001
30,47,0.019
26,46,0.005
6,49,0.001
3,13,0.005
2,104,0.012
17,-62,0.002
-21,23,0
51,114,0.001
-3,-69,0
12,106,0.04
45,24,0.02
6,100,0.01
30,89,0.001
45,-91,0.003
60,28,0.002
32,50,0.017
-17,-41,0.005
31,-103,0.001
28,45,0.001
55,64,0.003
51,61,0.001
31,74,0.259
28,-100,0.008
9,106,0.134
27,71,0.017
22,-78,0.005
-1,25,0.002
-2,-52,0
-5,-42,0.016
46,63,0.001
43,123,0.027
45,92,0.001
42,62,0.004
6,-2,0.033
46,-102,0.001
-11,-63,0.002
-15,-66,0.001
57,73,0
37,62,0.01
33,63,0.004
10,126,0.012
28,105,0.126
9,21,0.001
56,15,0.007
37,-77,0.036
-4,-70,0.001
33,-80,0.014
46,124,0.019
43,-90,0.004
0,38,0.035
-5,146,0.002
13,122,0.067
1,112,0.008
15,105,0.067
11,38,0.069
-43,-73,0.003
-9,-45,0.001
25,103,0.089
-13,16,0.024
61,12,0.001
58,14,0.006
0,102,0.043
-18,169,0.002
35,109,0.053
37,130,0.007
34,72,0.141
15,-6,0.003
14,75,0.046
11,-9,0.008
48,-121,0.001
-32,149,0
53,46,0.018
49,47,0.001
29,76,0.114
-9,126,0.012
25,69,0.121
-19,32,0.016
68,34,0.004
48,101,0
40,80,0.004
39,-93,0.003
50,118,0.001
12,25,0.013
-12,31,0.004
59,39,0.002
36,-94,0.015
35,57,0.003
30,-84,0.013
-8,-45,0.001
7,35,0.001
-17,29,0.005
54,33,0.006
7,-12,0.007
6,13,0.003
17,-98,0.018
-3,-65,0
-26,30,0.024
-27,-59,0.003
-13,-39,0.022
60,9,0.001
21,50,0.002
36,79,0.002
17,75,0.113
-6,-46,0.003
31,-116,0.001
42,109,0.001
-16,-53,0
21,-105,0.009
-20,-58,0
54,78,0.001
32,70,0.032
28,73,0.023
8,20,0.001
-16,26,0.003
55,36,0.005
31,30,0.073
42,-113,0.002
19,48,0.003
18,-87,0.001
-3,-48,0.004
65,27,0
43,87,0.008
45,128,0.042
18,28,0.001
52,-112,0.001
9,-76,0.002
46,-74,0.002
-11,-75,0.005
-14,41,0.01
-15,-70,0.007
57,37,0.003
52,-1,0.161
-10,-35,0.042
24,77,0.062
34,119,0.232
-24,-63,0.003
-28,-52,0.018
43,2,0.043
24,68,0.283
-9,32,0.013
0,74,0.001
13,94,0.001
-28,27,0.015
43,19,0.021
24,-77,0.001
23,104,0.059
38,-2,0.004
25,115,0.079
-38,177,0.004
61,16,0.001
49,126,0.009
-8,115,0.02
-42,173,0.001
-18,24,0.001
53,18,0.018
44,117,0.002
5,22,0.005
38,79,0.005
49,-68,0.001
48,137,0
14,122,0.423
63,13,0
36,47,0.023
35,12,0.002
11,126,0.017
26,-108,0.007
-11,30,0.005
39,24,0.002
50,9,0.114
27,82,0.202
29,99,0.002
6,-6,0.034
53,102,0.002
30,-9,0.043
6,41,0.007
17,-102,0.001
54,-112,0
64,42,0
-30,29,0.021
41,33,0.023
36,123,0.007
17,39,0.007
-3,-44,0.044
-25,152,0.001
-7,13,0.001
27,-99,0.018
45,-83,0.001
42,81,0.004
41,-78,0.006
-17,-48,0.021
51,28,0.006
32,42,0.003
-25,-69,0.003
22,-97,0.021
-16,46,0.001
-20,49,0.014
51,5,0.158
32,-103,0.002
-25,-70,0.001
19,28,0.001
-1,-47,0.006
-5,14,0.015
46,-121,0.001
42,22,0.056
18,32,0.001
33,10,0.008
-5,-65,0.001
-15,-42,0.009
22,108,0.047
0,128,0.01
52,43,0.005
13,36,0.005
-10,-39,0.002
24,113,0.057
56,87,0.005
33,-88,0.007
47,33,0.008
44,21,0.031
23,27,0
20,43,0.012
-4,33,0.035
44,-92,0.014
62,40,0
20,-102,0.038
35,108,0.061
15,33,0.108
14,4,0.008
10,7,0.015
47,131,0.024
61,52,0.003
38,-119,0.002
49,122,0.004
48,-65,0.001
29,3,0.001
-19,-41,0.012
53,6,0.012
49,7,0.07
48,14,0.03
44,81,0.011
40,129,0.034
38,107,0.047
35,-105,0.004
16,-1,0.002
53,-101,0
12,2,0.005
29,-95,0.132
59,46,0.001
40,24,0.009
61,77,0
35,40,0.015
11,122,0.002
40,-89,0.016
39,124,0.016
16,-99,0.019
50,13,0.064
-12,-51,0
27,110,0.077
41,95,0.002
3,40,0.004
2,129,0.002
39,141,0.035
-21,58,0.039
-21,-64,0.003
30,3,0.002
7,-68,0.001
-17,-58,0.001
-6,23,0.027
30,110,0.068
8,118,0.004
45,4,0.024
60,65,0.002
-35,146,0.001
32,79,0
-26,-59,0.002
8,5,0.063
3,99,0.174
55,59,0.003
51,56,0.023
32,-2,0.001
27,42,0.002
4,23,0.003
22,-101,0.021
-16,-46,0.002
21,96,0.093
-1,132,0.003
-39,-71,0.003
46,36,0.01
43,126,0.137
55,125,0.002
-2,16,0.002
-25,47,0.007
9,-85,0.003
43,143,0.02
42,-6,0.007
-11,38,0.005
57,96,0
37,41,0.026
28,78,0.779
-10,38,0.003
-14,-47,0.001
56,76,0.001
52,71,0.003
13,8,0.046
9,9,0.055
46,77,0
-14,-60,0.001
23,-82,0.071
-34,-65,0.003
0,19,0.004
47,21,0.021
19,100,0.034
34,-110,0.001
-23,-55,0.005
-24,32,0.004
58,55,0.002
35,136,0.061
34,33,0.004
15,21,0.001
10,43,0.006
-9,31,0.004
-9,117,0.104
-40,175,0.004
1,-79,0.001
38,-91,0.006
15,-90,0.031
49,22,0.031
25,44,0.006
2,33,0.039
1,34,0.053
26,106,0.108
25,-103,0.031
40,101,0
2,-76,0.028
36,40,0.028
50,79,0.001
12,30,0.007
40,-4,0.014
-52,-70,0.001
29,118,0.066
7,126,0.09
6,-57,0.004
40,-117,0
36,-122,0.002
54,70,0.01
53,141,0.001
50,49,0.002
30,48,0.039
26,59,0.004
6,50,0
3,20,0.02
2,101,0.011
-21,22,0
51,113,0.001
12,107,0.007
45,23,0.014
30,90,0.001
-37,-70,0.001
-27,33,0.028
45,-88,0.002
60,29,0.004
21,-98,0.031
32,51,0.023
28,46,0.001
8,41,0.032
55,63,0.003
51,68,0.001
-3,137,0.001
31,73,0.162
28,-99,0.001
9,105,0.013
27,70,0.053
-1,24,0.004
-2,-55,0.001
-5,-43,0.01
66,65,0
46,64,0
43,122,0.023
45,91,0.002
42,75,0.042
55,97,0.001
46,-113,0.001
-15,-67,0.001
57,76,0
37,61,0.004
33,66,0.007
28,106,0.133
9,24,0.002
-11,-47,0.001
-9,23,0.002
-4,121,0.017
56,16,0.006
37,-82,0.01
-4,-69,0.002
33,-81,0.015
44,62,0
46,121,0.005
43,-91,0.007
24,57,0.01
0,39,0.004
-5,145,0.004
13,121,0.021
1,111,0.025
15,104,0.069
11,37,0.026
14,46,0.018
25,106,0.071
-13,15,0.01
61,11,0.002
58,27,0.007
35,116,0.259
37,129,0.027
34,69,0.023
15,-7,0.003
14,76,0.12
11,-10,0.005
-8,144,0.001
-32,150,0
-19,-54,0.001
53,45,0.012
49,50,0.001
29,75,0.068
25,72,0.032
-33,-67,0.001
-19,31,0.013
48,102,0.001
-32,-68,0.018
40,73,0.094
39,-94,0.039
50,115,0.001
12,26,0.013
-12,32,0.002
59,38,0.012
36,-93,0.007
35,48,0.019
12,-87,0.01
30,-87,0.018
-8,-44,0.001
29,90,0.005
7,34,0.003
-36,149,0.001
54,34,0.003
30,28,0.002
6,14,0.005
-20,35,0.025
17,-99,0.028
-7,-61,0
-27,-56,0.007
60,10,0.001
21,49,0.002
18,85,0.039
36,80,0.005
17,46,0.001
-6,-49,0.004
42,110,0.001
-16,-52,0.002
-20,-57,0.002
54,83,0.007
32,71,0.069
31,-4,0.006
28,74,0.028
27,-15,0.007
8,13,0.013
-16,27,0.003
55,35,0.004
42,-112,0.003
19,47,0.004
65,30,0
43,86,0.003
45,127,0.176
18,25,0.001
52,-111,0
13,-86,0.027
-30,153,0.001
-18,-57,0.001
-15,-71,0.008
57,40,0.029
56,-3,0.024
52,0,0.061
24,78,0.056
34,120,0.163
-5,132,0.001
-24,-62,0.001
47,-116,0.004
43,1,0.013
-1,10,0.003
67,16,0.001
13,93,0.002
-28,28,0.007
43,18,0.029
23,103,0.045
-37,-60,0.003
0,-70,0
15,76,0.092
61,15,0.001
49,125,0.006
-8,116,0.001
29,-6,0.001
20,77,0.093
-18,21,0
53,17,0.013
29,15,0.001
44,118,0.003
5,21,0.005
38,80,0.003
48,138,0
63,28,0.003
40,45,0.082
36,48,0.013
35,11,0.048
12,54,0.001
11,125,0.05
26,-111,0
39,23,0.017
17,123,0.004
-55,-67,0.001
50,10,0.044
27,81,0.228
29,94,0.001
41,118,0.031
54,-130,0.001
53,101,0.001
30,-8,0.018
26,-13,0.001
6,42,0.003
-10,-68,0.003
54,-115,0.001
-21,-54,0.024
64,43,0
-30,30,0.011
41,36,0.022
17,42,0.002
-3,-45,0.008
-6,-77,0.004
-25,151,0
-7,16,0.007
45,-80,0
42,82,0.004
41,-79,0.008
3,118,0.006
51,27,0.01
32,43,0.003
8,49,0.003
-16,47,0.007
51,12,0.044
32,-102,0.003
45,142,0.002
19,27,0.001
6,-11,0.008
33,92,0
-5,13,0.019
-6,120,0.09
65,58,0.002
46,-120,0.007
42,3,0.02
18,29,0.001
33,9,0.002
-5,-66,0
-29,152,0.001
-15,-43,0.003
22,105,0.036
-20,-50,0.003
52,44,0.006
13,35,0.005
47,-113,0
-10,-38,0.008
24,114,0.067
56,88,0.002
33,-89,0.004
47,32,0.011
44,22,0.027
23,26,0
20,44,0.009
19,87,0.006
34,-85,0.016
-4,34,0.036
44,-91,0.009
62,37,0
20,-101,0.073
38,31,0.019
35,107,0.061
15,32,0.003
14,1,0.007
10,8,0.066
47,130,0.016
61,51,0.005
-33,20,0.001
-18,178,0.009
6,40,0.017
49,121,0.007
48,-64,0.001
29,-2,0.001
-13,-56,0.001
16,121,0.084
53,5,0
49,10,0.058
48,15,0.034
26,83,0.289
44,82,0.025
40,130,0.01
38,108,0.002
35,-106,0.024
16,0,0.003
12,3,0.008
29,-92,0.001
48,-113,0
59,45,0.001
40,17,0.023
35,39,0.029
11,121,0.001
-8,37,0.012
40,-88,0.013
39,123,0.064
16,-98,0.011
50,14,0.037
27,109,0.059
3,39,0.002
51,108,0.015
30,4,0.001
7,-69,0.002
3,-72,0.001
-17,-59,0
-6,24,0.014
30,115,0.298
23,95,0.013
45,3,0.006
-4,-40,0.019
17,6,0.001
-6,-57,0
28,19,0
-26,-58,0.007
8,6,0.023
3,98,0.013
55,58,0.003
51,55,0.003
32,-1,0.001
31,52,0.011
27,41,0.002
4,24,0.002
22,-100,0.024
-16,-45,0.001
21,95,0.039
-1,131,0
-3,-43,0.003
46,33,0.032
43,125,0.08
22,43,0.015
55,92,0.001
-2,13,0.001
-25,46,0.008
43,142,0.074
42,-9,0.002
57,95,0
19,-88,0.003
37,44,0.015
-2,128,0.001
10,104,0.009
28,79,0.291
-14,-46,0.001
56,69,0.002
37,-103,0
52,72,0.001
13,7,0.034
8,94,0
47,-77,0
9,12,0.034
46,78,0
43,-80,0.034
-11,125,0.003
-34,-64,0.005
0,20,0.003
37,-118,0.001
47,68,0.007
19,99,0.009
-8,143,0.001
-23,-52,0.008
-24,25,0
14,38,0.01
58,56,0.005
38,59,0.005
35,135,0.025
34,34,0.009
15,4,0.003
10,44,0.008
14,32,0.006
1,-76,0.012
38,-90,0.079
15,-91,0.057
49,21,0.038
25,43,0.007
2,34,0.022
1,33,0.018
16,77,0.073
-22,44,0.003
48,51,0
26,103,0.054
25,-100,0.122
36,41,0.051
-22,-69,0.001
50,80,0.001
12,31,0.009
7,172,0.001
5,126,0.007
-7,156,0.005
29,117,0.097
7,125,0.068
39,95,0.001
36,-121,0.021
54,75,0.003
50,50,0.001
30,45,0.004
26,60,0.003
3,19,0.005
2,102,0.042
12,108,0.015
-7,-70,0.001
45,18,0.012
-25,-65,0.025
36,101,0.002
-3,38,0.014
30,79,0.073
45,-89,0.004
60,30,0.014
-29,-60,0.001
21,-99,0.012
32,52,0.053
31,-105,0
28,47,0.002
8,42,0.02
55,62,0.051
51,67,0.001
-3,140,0.001
31,72,0.059
28,-98,0.001
27,69,0.081
42,-71,0.148
-1,23,0.004
-2,-54,0.001
43,121,0.013
45,86,0.006
42,76,0.007
22,71,0.088
56,-117,0.001
55,96,0.001
52,-122,0.001
13,-59,0.009
-25,18,0
5,12,0.008
46,-112,0.002
-11,-61,0.003
-15,-64,0.002
57,75,0
37,64,0.003
33,65,0.005
28,107,0.097
9,23,0
-11,-44,0.002
-18,-63,0.03
-15,13,0.001
56,41,0.026
37,-83,0.006
-4,-68,0.001
33,-78,0.005
44,63,0.001
46,122,0.009
43,-84,0.013
20,53,0.002
0,40,0.002
-5,152,0.002
13,124,0.087
43,53,0.002
1,114,0.001
34,-77,0.013
15,103,0.066
11,44,0.01
10,-83,0.012
-9,-47,0.001
25,105,0.087
-13,14,0.006
61,6,0.002
58,28,0.001
35,115,0.212
34,70,0.118
15,-8,0.004
49,100,0
11,-11,0.011
-32,151,0.002
-19,-55,0.001
53,48,0.004
49,49,0.001
29,70,0.018
25,71,0.025
-2,106,0.005
-19,26,0.001
48,103,0
40,74,0.017
39,-95,0.008
36,69,0.037
50,116,0.001
12,27,0.005
-7,135,0.001
11,104,0.003
-12,33,0.002
59,37,0.001
5,98,0.015
39,50,0.014
36,-92,0.004
35,47,0.025
12,-86,0.054
30,-86,0.009
-8,-51,0
29,89,0.004
7,33,0.005
-36,150,0.013
54,39,0.016
30,25,0.001
6,19,0.002
17,-96,0.029
-27,-57,0.003
60,11,0.013
21,52,0.002
36,81,0.003
17,45,0.002
-6,-48,0.004
42,123,0.041
-16,-59,0.001
-20,-56,0.001
52,85,0.003
54,84,0.027
-41,-63,0.001
32,72,0.061
31,-5,0.008
28,75,0.038
8,14,0.005
-16,28,0.007
55,34,0.004
31,44,0.008
19,46,0.004
18,-89,0.003
33,127,0.019
-5,56,0.003
-36,148,0.002
65,29,0
43,85,0.004
45,122,0.013
18,26,0.001
6,7,0.116
52,-110,0.001
13,-87,0.032
46,-68,0.001
-11,-73,0.001
-14,39,0.01
-15,-68,0.001
57,39,0.013
56,-2,0.01
52,1,0.033
24,79,0.074
34,117,0.262
33,-114,0.001
-24,-61,0
47,-117,0.015
43,8,0.036
19,122,0.001
67,15,0.001
43,17,0.017
58,-3,0.001
-37,-61,0.002
15,75,0.092
47,93,0
62,-7,0.001
61,42,0.001
-46,170,0.001
49,128,0.005
-8,109,0.203
29,-7,0.001
20,78,0.099
-18,22,0
53,20,0.017
48,-4,0.018
29,42,0.001
44,119,0.006
5,24,0.001
38,77,0.015
48,139,0
63,27,0.001
40,46,0.019
39,5,0.001
36,49,0.016
35,10,0.023
-19,147,0
12,55,0.001
39,22,0.01
50,7,0.082
27,88,0.026
29,93,0.002
41,117,0.015
53,104,0.004
26,-12,0.002
-9,143,0.001
17,-100,0.009
54,-114,0
-30,27,0.023
41,35,0.011
36,109,0.013
32,117,0.196
-6,-76,0.002
-7,15,0.005
42,79,0.005
41,-76,0.01
3,117,0.001
21,-75,0.002
51,26,0.009
32,44,0.003
8,50,0.002
4,45,0.004
22,-99,0.008
-16,48,0.006
51,11,0.037
32,-101,0.002
8,-63,0.008
19,26,0.001
-1,-49,0.001
33,91,0
-5,20,0.019
46,-123,0.004
42,4,0.004
57,86,0.002
18,30,0.001
33,12,0.003
6,0,0.045
-29,151,0
-15,-40,0.016
22,106,0.025
37,-8,0.01
52,29,0.006
13,30,0.008
47,-114,0.001
46,103,0.001
24,115,0.049
33,-86,0.034
47,31,0.008
44,23,0.024
19,86,0.037
34,-84,0.035
-4,35,0.018
44,-90,0.004
62,38,0
20,-100,0.078
38,32,0.018
35,106,0.065
15,31,0.001
14,2,0.011
10,5,0.012
47,129,0.016
61,46,0
-33,19,0.003
49,124,0.003
11,-83,0.001
48,-55,0.001
29,-3,0.001
16,122,0.046
53,8,0.024
49,9,0.134
48,16,0.018
26,84,0.383
44,83,0.005
5,-4,0.083
38,105,0.001
35,-107,0.001
16,9,0
12,4,0.023
29,-93,0.004
-37,141,0
59,52,0.001
40,18,0.04
-20,-43,0.092
35,38,0.068
16,16,0.001
-8,38,0.015
40,-95,0.003
39,122,0.086
16,-97,0.011
50,43,0.004
27,116,0.081
3,38,0.001
-1,103,0.016
-21,32,0.015
51,107,0.002
30,1,0
7,-70,0.004
3,-73,0.008
-13,-38,0.139
-6,21,0.01
-35,-62,0.003
30,116,0.171
-35,148,0.001
17,5,0
-6,-56,0.001
-26,-53,0.014
8,7,0.019
41,-112,0.005
3,97,0.004
55,57,0.004
52,125,0.001
51,54,0.002
32,0,0.001
31,51,0.015
27,48,0.002
4,25,0.002
22,-103,0.005
-16,-44,0.005
21,106,0.251
-39,-69,0.004
31,100,0.002
46,34,0.012
43,132,0.017
22,44,0.008
55,91,0.002
-2,14,0.003
-25,45,0.006
-10,153,0
43,141,0.004
42,-8,0.043
19,-89,0.003
37,43,0.019
-2,125,0.001
28,80,0.267
-14,-49,0.002
56,70,0.004
37,-100,0.003
52,73,0.001
-12,-66,0.002
13,2,0.013
9,11,0.017
46,83,0.002
43,-81,0.008
-14,-62,0
-34,-67,0.001
0,13,0.001
37,-119,0.002
-23,46,0.002
-30,-49,0.004
23,29,0
19,98,0.01
34,-112,0.004
-36,-60,0.004
-23,-53,0.003
-24,26,0.005
-43,-64,0.001
62,50,0.001
58,53,0.006
38,60,0.002
35,134,0.025
37,95,0
15,3,0.002
11,0,0.03
10,41,0.015
-9,29,0.004
5,-70,0.001
-10,162,0.002
1,-77,0.035
38,-85,0.04
49,24,0.043
2,31,0.053
1,36,0.02
16,78,0.094
48,52,0.001
26,104,0.09
25,-101,0.01
2,-78,0.003
36,42,0.04
-22,-68,0.001
50,77,0
12,32,0.01
-42,-73,0.006
-12,22,0.001
59,16,0.008
5,125,0.001
36,-7,0.001
29,120,0.103
7,124,0.029
40,-123,0.001
39,94,0.001
36,-120,0.005
54,76,0.002
53,143,0.001
50,47,0.003
30,46,0.004
26,57,0.002
3,18,0.002
2,99,0.035
17,-61,0.002
-21,28,0.005
12,77,0.176
64,-147,0.002
45,17,0.019
6,103,0.025
57,12,0.013
36,102,0.059
-21,165,0.001
-3,37,0.006
30,80,0.019
45,-94,0.009
60,31,0.016
32,45,0.05
31,-106,0.067
28,48,0.007
8,43,0.008
-16,33,0.003
55,61,0.01
51,66,0.001
-3,139,0.001
31,71,0.043
28,-97,0.004
9,107,0.052
27,76,0.122
42,-70,0.03
-1,22,0.005
-5,-37,0.007
66,63,0.001
46,62,0.001
43,96,0.001
45,85,0.004
42,73,0.004
22,72,0.072
18,51,0.001
55,95,0.003
-29,-50,0.006
-15,-65,0
57,62,0.011
56,-5,0.001
37,63,0.006
33,68,0.013
28,108,0.067
9,26,0
-11,-45,0.001
-15,16,0.006
56,42,0.016
37,-80,0.011
33,-79,0.008
44,64,0
43,-85,0.012
20,54,0.002
-23,26,0.001
13,123,0.029
47,55,0.001
43,60,0.003
20,-155,0
1,113,0.002
38,-27,0.002
37,142,0.001
34,-76,0.003
15,102,0.036
11,43,0.011
-9,-48,0.002
25,108,0.036
58,25,0.004
35,114,0.224
37,131,0
34,67,0.008
15,-9,0.007
49,99,0
11,-4,0.027
-9,112,0.071
-32,152,0.001
-19,-52,0.001
53,47,0.008
49,52,0.001
48,1,0.016
29,69,0.008
25,74,0.059
-19,25,0
48,104,0
-12,-77,0.062
40,75,0.003
39,-96,0.005
36,70,0.025
-19,170,0.001
50,113,0.001
12,28,0.006
11,103,0.002
-12,34,0.017
59,44,0.001
5,97,0.023
39,49,0.026
36,-107,0.001
35,46,0.029
12,-85,0.019
30,-97,0.04
-8,-50,0.002
29,92,0.014
7,32,0.007
8,100,0.049
54,40,0.024
6,20,0.003
-31,152,0.001
17,-97,0.012
-26,33,0.053
8,105,0.007
60,12,0.005
41,58,0.003
21,51,0.002
18,83,0.048
36,82,0.002
17,48,0.002
-6,-51,0
42,124,0.148
-16,-58,0.003
-20,-55,0.001
52,86,0.012
54,81,0.001
31,-6,0.014
28,76,0.089
27,-9,0.001
8,15,0.003
-16,21,0
55,33,0.003
31,43,0.003
42,-114,0.003
19,45,0.005
18,-88,0.005
33,130,0.024
43,92,0.001
45,121,0.007
-4,153,0.001
52,-109,0
13,-84,0.003
46,-71,0.03
-14,40,0.015
-15,-69,0.003
57,42,0.012
0,103,0.006
52,2,0.033
24,80,0.058
-9,18,0.004
34,118,0.279
33,-115,0.001
-5,130,0.001
47,-118,0
43,7,0.024
-13,-47,0.001
-24,-45,0.041
43,24,0.018
23,101,0.021
38,1,0.004
15,74,0.04
47,108,0.01
62,-6,0.001
61,41,0.001
-4,102,0.004
49,127,0.008
-8,110,0.285
29,-4,0
20,79,0.078
-18,27,0.004
53,19,0.038
-3,106,0.009
29,41,0.002
44,120,0.011
5,23,0.001
38,78,0.019
-22,-159,0
48,140,0
29,-102,0.002
63,26,0.001
40,47,0.03
39,4,0.006
36,50,0.019
35,9,0.018
16,53,0
39,21,0.012
50,8,0.092
27,87,0.036
29,96,0
-22,-45,0.023
41,120,0.047
3,73,0
53,103,0.003
-35,-71,0.012
-25,-56,0.009
17,-101,0.005
-21,-44,0.028
8,77,0.114
-30,28,0.029
41,22,0.024
